
Found '9' columns in '/group/ctbrowngrp/2025-ccbaumler-team-tartrate/updated/final_results.csv' file
=== 20201 Unique values (of 594573 values) for column 1: contig ===
    136 GCA_963693395.1_lcl|OY856303.1_cds_CAK5456711.1_425
     95 GCA_003454575.1_lcl|DMJU01000198.1_cds_HAK83710.1_1315
     92 GCA_030296475.1_lcl|AP027458.1_cds_BDZ19280.1_216
     91 GCF_900449595.1_lcl|NZ_UGDG01000002.1_cds_WP_000133044.1_2659
     91 GCF_038435665.1_lcl|NZ_JARMYP010000002.1_cds_WP_000133044.1_404
     91 GCA_003514885.1_lcl|DOOL01000133.1_cds_HBV59167.1_2193
     90 GCF_036687395.1_lcl|NZ_CP144710.1_cds_WP_000133044.1_564
     90 GCA_003454545.1_lcl|DMJV01000129.1_cds_HAK65765.1_123
     89 GCF_900480135.1_lcl|NZ_UDAB01000003.1_cds_WP_000133044.1_1742
     89 GCF_039679135.1_lcl|NZ_CP155555.1_cds_WP_000133044.1_652
     88 GCF_904809655.1_lcl|NZ_CAJGET010000023.1_cds_WP_000133044.1_2642
     88 GCF_902499835.1_lcl|NZ_CABVNQ010000008.1_cds_WP_000133044.1_1367
     88 GCA_900635235.1_lcl|LR134083.1_cds_VDZ06633.1_384
     88 GCA_900448645.1_lcl|UFZZ01000004.1_cds_STF29518.1_435
     88 GCA_900448195.1_lcl|UFZK01000002.1_cds_STE48726.1_427
     88 GCA_003491965.1_lcl|DNAO01000039.1_cds_HAV97892.1_2843
     88 GCA_001580255.1_lcl|LRDD01000008.1_cds_KXU69368.1_1920
     87 GCF_900479175.1_lcl|NZ_UCWJ01000009.1_cds_WP_000133044.1_1293
     87 GCF_041079325.1_lcl|NZ_JBFYGC010000001.1_cds_WP_000133044.1_225
     87 GCA_009671145.1_lcl|CP046033.1_cds_QGL42547.1_2236
     87 GCA_001405275.1_lcl|LN877770.1_cds_CUQ98590.1_3918
     86 GCF_907175905.1_lcl|NZ_CAJSJB010000011.1_cds_WP_000133044.1_2113
     86 GCF_902810125.1_lcl|NZ_CADDXG010000001.1_cds_WP_000133044.1_4451
     86 GCA_900448235.1_lcl|UFZS01000001.1_cds_STE94703.1_519
     86 GCA_003542035.1_lcl|DPLK01000083.1_cds_HCV58863.1_3831
     85 GCF_900480485.1_lcl|NZ_UDAV01000011.1_cds_WP_000133044.1_4119
     85 GCF_900448945.1_lcl|NZ_UGBL01000001.1_cds_WP_000133044.1_566
     85 GCF_040933575.1_lcl|NZ_JBFRAI010000008.1_cds_WP_000133044.1_4097
     85 GCF_035824135.1_lcl|NZ_JAYMMJ010000011.1_cds_WP_000133044.1_2022
     85 GCA_901482305.1_lcl|CABEEF010000003.1_cds_VTQ20204.1_642
     85 GCA_000226585.1_lcl|AFVX01000013.1_cds_EGU27189.1_2331
     84 GCF_963679075.1_lcl|NZ_CAVMCG010000013.1_cds_WP_000133044.1_2935
     84 GCF_900536485.1_lcl|NZ_UNQA01000001.1_cds_WP_000133044.1_61
     84 GCF_900481835.1_lcl|NZ_UDFU01000008.1_cds_WP_000133044.1_1686
     84 GCF_900474495.1_lcl|NZ_LS483297.1_cds_WP_000133044.1_565
     84 GCF_900195775.1_lcl|NZ_FZGV01000007.1_cds_WP_000133044.1_2484
     84 GCF_040813435.1_lcl|NZ_JBFOBX010000002.1_cds_WP_000133044.1_1929
     84 GCF_032998425.1_lcl|NZ_CP107281.1_cds_WP_000133044.1_3316
     84 GCA_030296455.1_lcl|AP027457.1_cds_BDZ16820.1_215
     84 GCA_003536655.1_lcl|DQBA01000286.1_cds_HCO16599.1_1092
     84 GCA_003446685.1_lcl|DMCQ01000033.1_cds_HAE97144.1_470
     83 GCF_900636045.1_lcl|NZ_LR134216.1_cds_WP_000133044.1_535
     83 GCF_900195695.1_lcl|NZ_FZFP01000002.1_cds_WP_000133044.1_2880
     83 GCF_041227645.1_lcl|NZ_JBGFEA010000007.1_cds_WP_000133044.1_4338
     83 GCF_036881295.1_lcl|NZ_JBAJZP010000002.1_cds_WP_000133044.1_784
     83 GCF_036422115.1_lcl|NZ_JAZGPP010000003.1_cds_WP_000133044.1_1083
     83 GCF_033341135.1_lcl|NZ_JAWOZU010000054.1_cds_WP_000133044.1_4275
     83 GCF_031432855.1_lcl|NZ_CP133854.1_cds_WP_000133044.1_2837
     83 GCA_900448495.1_lcl|UFZX01000001.1_cds_STF18924.1_477
     83 GCA_000751315.1_lcl|CCNI01000026.1_cds_CEE05292.1_1371
     83 GCA_000474035.1_lcl|CP006698.1_cds_AGX35302.1_3290
     82 GCF_963679195.1_lcl|NZ_CAVMCY010000012.1_cds_WP_000133044.1_2599
     82 GCF_963679045.1_lcl|NZ_CAVMCL010000012.1_cds_WP_000133044.1_2488
     82 GCF_948144515.1_lcl|NZ_CANUHF010000016.1_cds_WP_000133044.1_2648
     82 GCF_948144075.1_lcl|NZ_CANUFU010000015.1_cds_WP_000133044.1_2178
     82 GCF_907176955.1_lcl|NZ_CAJSKP010000044.1_cds_WP_000133044.1_3427
     82 GCF_900490215.1_lcl|NZ_UEKD01000013.1_cds_WP_000133044.1_3162
     82 GCF_900479885.1_lcl|NZ_UCYR01000013.1_cds_WP_000133044.1_572
     82 GCF_900479625.1_lcl|NZ_UCXW01000017.1_cds_WP_000133044.1_2358
     82 GCF_900478505.1_lcl|NZ_UCUE01000003.1_cds_WP_000133044.1_2865
     82 GCF_900449835.1_lcl|NZ_UGEI01000001.1_cds_WP_000133044.1_714
     82 GCF_900196435.1_lcl|NZ_FZIZ01000017.1_cds_WP_000133044.1_1411
     82 GCF_900093875.1_lcl|NZ_FLYX01000010.1_cds_WP_000133044.1_47
     82 GCF_041382475.1_lcl|NZ_JBGFHI010000008.1_cds_WP_000133044.1_1751
     82 GCF_041316285.1_lcl|NZ_CP100876.1_cds_WP_000133044.1_571
     82 GCF_040813535.1_lcl|NZ_JBFOCE010000001.1_cds_WP_000133044.1_2128
     82 GCF_039059165.1_lcl|NZ_JBCHMF010000008.1_cds_WP_000133044.1_1160
     82 GCF_037030355.1_lcl|NZ_JAYEUB010000002.1_cds_WP_000133044.1_505
     82 GCF_032461425.1_lcl|NZ_JAWDAS010000001.1_cds_WP_000133044.1_154
     82 GCF_032336295.1_lcl|NZ_JAVXXH010000001.1_cds_WP_000133044.1_99
     82 GCF_032029835.1_lcl|NZ_JAVUPQ010000001.1_cds_WP_000133044.1_124
     82 GCF_032029015.1_lcl|NZ_JAVUOK010000006.1_cds_WP_000133044.1_947
     82 GCF_031451915.1_lcl|NZ_JANIDP010000001.1_cds_WP_000133044.1_1521
     82 GCA_001455385.1_lcl|CP013253.1_cds_ALQ75039.1_4115
     81 GCF_963679235.1_lcl|NZ_CAVMCW010000012.1_cds_WP_000133044.1_2544
     81 GCF_963577445.1_lcl|NZ_CAUZHK010000001.1_cds_WP_000133044.1_915
     81 GCF_946888795.1_lcl|NZ_CAMPLI010000010.1_cds_WP_000133044.1_1445
     81 GCF_934277835.1_lcl|NZ_CAKQVR010000001.1_cds_WP_000133044.1_97
     81 GCF_902703105.1_lcl|NZ_CACRYA010000013.1_cds_WP_000133044.1_3700
     81 GCF_900499285.1_lcl|NZ_UIHT01000001.1_cds_WP_000133044.1_745
     81 GCF_900479005.1_lcl|NZ_UCVT01000003.1_cds_WP_000133044.1_1786
     81 GCF_900478775.1_lcl|NZ_UCUX01000002.1_cds_WP_000133044.1_3097
     81 GCF_900474445.1_lcl|NZ_LS483296.1_cds_WP_000133044.1_587
     81 GCF_041806895.1_lcl|NZ_JBGUBQ010000005.1_cds_WP_000133044.1_1192
     81 GCF_040048815.1_lcl|NZ_JAQFLH010000002.1_cds_WP_000133044.1_432
     81 GCF_037631845.1_lcl|NZ_JBBGHI010000008.1_cds_WP_000133044.1_511
     81 GCF_037167965.1_lcl|NZ_JBANOJ010000011.1_cds_WP_000133044.1_2096
     81 GCF_037153795.1_lcl|NZ_JBBBSF010000002.1_cds_WP_000133044.1_479
     81 GCF_036914175.1_lcl|NZ_JAYKUI010000008.1_cds_WP_000133044.1_1088
     81 GCA_030296515.1_lcl|AP027460.1_cds_BDZ24206.1_214
     80 GCF_963575635.1_lcl|NZ_OY754453.1_cds_WP_000133044.1_3997
     80 GCF_916159765.1_lcl|NZ_CAJZOA010000001.1_cds_WP_000133044.1_324
     80 GCF_907176115.1_lcl|NZ_CAJSJX010000019.1_cds_WP_000133044.1_2446
     80 GCF_900480225.1_lcl|NZ_UDAA01000001.1_cds_WP_000133044.1_1183
     80 GCF_900196275.1_lcl|NZ_FZIO01000005.1_cds_WP_000133044.1_1559
     80 GCF_041383055.1_lcl|NZ_JBGFID010000002.1_cds_WP_000133044.1_1802
     80 GCF_040812575.1_lcl|NZ_JBFOAO010000001.1_cds_WP_000133044.1_2656
     80 GCF_040713335.1_lcl|NZ_JALMOW010000012.1_cds_WP_000133044.1_634
     80 GCF_039619355.1_lcl|NZ_CP154880.1_cds_WP_000133044.1_540
     80 GCF_038435365.1_lcl|NZ_JARMYA010000002.1_cds_WP_000133044.1_436
     80 GCF_037282945.1_lcl|NZ_JAXBSD010000012.1_cds_WP_000133044.1_328
     80 GCF_037105995.1_lcl|NZ_JAGISV010000001.1_cds_WP_000133044.1_527
     80 GCF_037105195.1_lcl|NZ_JAGIUM010000009.1_cds_WP_000133044.1_1601
     80 GCF_036881275.1_lcl|NZ_JBAJZQ010000003.1_cds_WP_000133044.1_310
     80 GCF_036038585.1_lcl|NZ_JAYXDA010000005.1_cds_WP_000133044.1_362
     80 GCF_034331185.1_lcl|NZ_CP141736.1_cds_WP_000133044.1_3831
     80 GCF_032490235.1_lcl|NZ_JAUERM010000010.1_cds_WP_000133044.1_1551
     80 GCF_031627075.1_lcl|NZ_JANFJJ010000012.1_cds_WP_000133044.1_2514
     80 GCF_031536885.1_lcl|NZ_CP125713.1_cds_WP_000133044.1_1310
     80 GCF_030732575.1_lcl|NZ_JAUEKC010000092.1_cds_WP_000133044.1_3685
     80 GCA_003150815.1_lcl|CP028704.1_cds_AWM68197.1_605
     79 GCF_905133605.1_lcl|NZ_CAJHRR010000010.1_cds_WP_000133044.1_1567
     79 GCF_900500045.1_lcl|NZ_UIKT01000018.1_cds_WP_000133044.1_2702
     79 GCF_900480115.1_lcl|NZ_UCZQ01000002.1_cds_WP_000133044.1_1098
     79 GCF_900449175.1_lcl|NZ_UGCH01000001.1_cds_WP_000133044.1_2472
     79 GCF_900196485.1_lcl|NZ_FZJA01000017.1_cds_WP_000133044.1_3450
     79 GCF_900195705.1_lcl|NZ_FZFG01000012.1_cds_WP_000133044.1_1840
     79 GCF_900195385.1_lcl|NZ_FZFH01000008.1_cds_WP_000133044.1_2397
     79 GCF_040713795.1_lcl|NZ_JALMPR010000006.1_cds_WP_000133044.1_3849
     79 GCF_040141685.1_lcl|NZ_JBEEYZ010000006.1_cds_WP_000133044.1_4066
     79 GCF_036918835.1_lcl|NZ_JAYKWE010000003.1_cds_WP_000133044.1_920
     79 GCF_036375575.1_lcl|NZ_JAKMAR010000003.1_cds_WP_000133044.1_796
     79 GCF_036281895.1_lcl|NZ_JAWHTV010000001.1_cds_WP_000133044.1_1929
     79 GCF_036246645.1_lcl|NZ_BLCM01000015.1_cds_WP_000133044.1_308
     79 GCF_031702245.1_lcl|NZ_JASNHD010000008.1_cds_WP_000133044.1_1345
     79 GCF_030991425.1_lcl|NZ_CP059339.1_cds_WP_000133044.1_3365
     79 GCF_030510795.1_lcl|NZ_JAUKYF010000001.1_cds_WP_000133044.1_1391
     79 GCF_030510415.1_lcl|NZ_JAUKXM010000001.1_cds_WP_000133044.1_1176
     79 GCA_030296535.1_lcl|AP027461.1_cds_BDZ26638.1_184
     78 GCF_963679245.1_lcl|NZ_CAVMCT010000013.1_cds_WP_000133044.1_2741
     78 GCF_963679085.1_lcl|NZ_CAVMCF010000013.1_cds_WP_000133044.1_2861
     78 GCF_907175915.1_lcl|NZ_CAJSJG010000004.1_cds_WP_000133044.1_524
     78 GCF_907175785.1_lcl|NZ_CAJSIV010000012.1_cds_WP_000133044.1_2349
     78 GCF_907175725.1_lcl|NZ_CAJSIO010000018.1_cds_WP_000133044.1_726
     78 GCF_900490685.1_lcl|NZ_UEML01000006.1_cds_WP_000133044.1_2907
     78 GCF_900490525.1_lcl|NZ_UEMQ01000007.1_cds_WP_000133044.1_3921
     78 GCF_900482015.1_lcl|NZ_UDGS01000013.1_cds_WP_000133044.1_2871
     78 GCF_900480055.1_lcl|NZ_UINP01000017.1_cds_WP_000133044.1_3435
     78 GCF_900479365.1_lcl|NZ_UCWY01000012.1_cds_WP_000133044.1_1100
     78 GCF_900195645.1_lcl|NZ_FZGC01000009.1_cds_WP_000133044.1_3364
     78 GCF_037282775.1_lcl|NZ_JAXBSB010000002.1_cds_WP_000133044.1_2659
     78 GCF_037199145.1_lcl|NZ_JBBBYF010000004.1_cds_WP_000133044.1_3635
     78 GCF_036919175.1_lcl|NZ_JAYKWX010000010.1_cds_WP_000133044.1_1459
     78 GCF_032744835.1_lcl|NZ_JAWICH010000017.1_cds_WP_000133044.1_2533
     78 GCF_032382315.1_lcl|NZ_CP135671.1_cds_WP_000133044.1_616
     78 GCF_032143255.1_lcl|NZ_JAVSRJ010000004.1_cds_WP_000133044.1_875
     78 GCF_031700905.1_lcl|NZ_JASNIM010000031.1_cds_WP_000133044.1_3057
     78 GCA_030296375.1_lcl|AP027453.1_cds_BDZ06659.1_215
     78 GCA_015256205.1_lcl|JABZMN010000032.1_cds_MBF1144965.1_2730
     77 GCF_963679225.1_lcl|NZ_CAVMCZ010000013.1_cds_WP_000133044.1_2803
     77 GCF_949786285.1_lcl|NZ_OX460316.1_cds_WP_000133044.1_558
     77 GCF_921293765.1_lcl|NZ_CAKLDG010000003.1_cds_WP_000133044.1_552
     77 GCF_907177135.1_lcl|NZ_CAJSLG010000059.1_cds_WP_000133044.1_3927
     77 GCF_902503025.1_lcl|NZ_CABWAC010000008.1_cds_WP_000133044.1_717
     77 GCF_900706885.1_lcl|NZ_CAADJH010000002.1_cds_WP_000133044.1_556
     77 GCF_900536605.1_lcl|NZ_UNQE01000003.1_cds_WP_000133044.1_639
     77 GCF_900536595.1_lcl|NZ_UNQG01000008.1_cds_WP_000133044.1_1865
     77 GCF_900499825.1_lcl|NZ_UIKE01000001.1_cds_WP_000133044.1_3780
     77 GCF_900482055.1_lcl|NZ_UDGV01000019.1_cds_WP_000133044.1_133
     77 GCF_900480495.1_lcl|NZ_UDBA01000010.1_cds_WP_000133044.1_3383
     77 GCF_900480325.1_lcl|NZ_UDAQ01000033.1_cds_WP_000133044.1_448
     77 GCF_900480105.1_lcl|NZ_UCZU01000004.1_cds_WP_000133044.1_4904
     77 GCF_900480095.1_lcl|NZ_UCZV01000012.1_cds_WP_000133044.1_1334
     77 GCF_900450475.1_lcl|NZ_UGGJ01000004.1_cds_WP_000133044.1_4720
     77 GCF_900450345.1_lcl|NZ_UGFZ01000001.1_cds_WP_000133044.1_792
     77 GCF_900448415.1_lcl|NZ_UFZB01000004.1_cds_WP_000133044.1_683
     77 GCF_900239845.1_lcl|NZ_OENL01000013.1_cds_WP_000133044.1_642
     77 GCF_900196225.1_lcl|NZ_FZIH01000011.1_cds_WP_000133044.1_264
     77 GCF_900196035.1_lcl|NZ_FZHY01000027.1_cds_WP_000133044.1_4895
     77 GCF_900195435.1_lcl|NZ_FZGH01000020.1_cds_WP_000133044.1_1567
     77 GCF_900005335.1_lcl|NZ_CXOX01000114.1_cds_WP_000133044.1_1832
     77 GCF_041723585.1_lcl|NZ_JBGKBJ010000017.1_cds_WP_000133044.1_2001
     77 GCF_041416035.1_lcl|NZ_JBFLAE010000007.1_cds_WP_000133044.1_4231
     77 GCF_041316645.1_lcl|NZ_CP100883.1_cds_WP_000133044.1_529
     77 GCF_041084215.1_lcl|NZ_JBCEXP010000013.1_cds_WP_000133044.1_451
     77 GCF_041008375.1_lcl|NZ_JBBMYF010000014.1_cds_WP_000133044.1_968
     77 GCF_040140885.1_lcl|NZ_JBEEXN010000020.1_cds_WP_000133044.1_2419
     77 GCF_039058955.1_lcl|NZ_JBCHMB010000016.1_cds_WP_000133044.1_588
     77 GCF_037153895.1_lcl|NZ_JBBBSJ010000002.1_cds_WP_000133044.1_576
     77 GCF_036923895.1_lcl|NZ_JAYKFV010000008.1_cds_WP_000133044.1_1622
     77 GCF_036697635.1_lcl|NZ_JBAHZN010000011.1_cds_WP_000133044.1_397
     77 GCF_036681215.1_lcl|NZ_JAQMUS010000001.1_cds_WP_000133044.1_3428
     77 GCF_036576555.1_lcl|NZ_JAVIAU010000013.1_cds_WP_000133044.1_2072
     77 GCF_036503635.1_lcl|NZ_AP027759.1_cds_WP_000133044.1_519
     77 GCF_031628935.1_lcl|NZ_JAVKNQ010000003.1_cds_WP_000133044.1_1246
     77 GCF_031452235.1_lcl|NZ_JANIDG010000011.1_cds_WP_000133044.1_257
     76 GCF_949281545.1_lcl|NZ_CASDMX010000001.1_cds_WP_000133044.1_1202
     76 GCF_949281535.1_lcl|NZ_CASDMR010000002.1_cds_WP_000133044.1_1352
     76 GCF_946960675.1_lcl|NZ_CAMPSQ010000002.1_cds_WP_000133044.1_497
     76 GCF_905133555.1_lcl|NZ_CAJHRM010000010.1_cds_WP_000133044.1_1357
     76 GCF_905071795.1_lcl|NZ_CAJHJK010000001.1_cds_WP_000133044.1_556
     76 GCF_902503825.1_lcl|NZ_CABWDD010000007.1_cds_WP_000133044.1_715
     76 GCF_902502025.1_lcl|NZ_CABVWH010000004.1_cds_WP_000133044.1_534
     76 GCF_900636235.1_lcl|NZ_LR134239.1_cds_WP_000133044.1_532
     76 GCF_900500495.1_lcl|NZ_UIMQ01000010.1_cds_WP_000133044.1_1857
     76 GCF_900490185.1_lcl|NZ_UEJV01000002.1_cds_WP_000133044.1_4607
     76 GCF_900478685.1_lcl|NZ_UCUU01000014.1_cds_WP_000133044.1_4181
     76 GCF_900196515.1_lcl|NZ_FZJN01000027.1_cds_WP_000133044.1_4069
     76 GCF_900196015.1_lcl|NZ_FZHH01000016.1_cds_WP_000133044.1_3244
     76 GCF_900195995.1_lcl|NZ_FZIA01000008.1_cds_WP_000133044.1_1089
     76 GCF_900195745.1_lcl|NZ_FZGN01000013.1_cds_WP_000133044.1_322
     76 GCF_900195465.1_lcl|NZ_FZGB01000008.1_cds_WP_000133044.1_2234
     76 GCF_900195425.1_lcl|NZ_FZFS01000008.1_cds_WP_000133044.1_1127
     76 GCF_040049015.1_lcl|NZ_JAQFLV010000022.1_cds_WP_000133044.1_2186
     76 GCF_039682695.1_lcl|NZ_JBDKNP010000001.1_cds_WP_000133044.1_99
     76 GCF_037286675.1_lcl|NZ_JAXBTX010000001.1_cds_WP_000133044.1_294
     76 GCF_032359845.1_lcl|NZ_JAVTVM010000025.1_cds_WP_000133044.1_3441
     76 GCF_031118735.1_lcl|NZ_JAVHZH010000001.1_cds_WP_000133044.1_538
     76 GCF_030510865.1_lcl|NZ_JAUKYG010000020.1_cds_WP_000133044.1_1581
     76 GCA_003507015.1_lcl|DNWX01000226.1_cds_HBJ66086.1_764
     75 GCF_963679265.1_lcl|NZ_CAVMDI010000012.1_cds_WP_000133044.1_2654
     75 GCF_963679205.1_lcl|NZ_CAVMDC010000020.1_cds_WP_000133044.1_2930
     75 GCF_963575475.1_lcl|NZ_OY754416.1_cds_WP_000133044.1_518
     75 GCF_949281885.1_lcl|NZ_CASDNV010000002.1_cds_WP_000133044.1_1250
     75 GCF_946960505.1_lcl|NZ_CAMPTG010000005.1_cds_WP_000133044.1_882
     75 GCF_929616755.1_lcl|NZ_CAKNCX010000005.1_cds_WP_000133044.1_1393
     75 GCF_907176865.1_lcl|NZ_CAJSKI010000009.1_cds_WP_000133044.1_1523
     75 GCF_907176125.1_lcl|NZ_CAJSKG010000006.1_cds_WP_000133044.1_939
     75 GCF_907175705.1_lcl|NZ_CAJSIR010000002.1_cds_WP_000133044.1_366
     75 GCF_905134055.1_lcl|NZ_CAJHTR010000010.1_cds_WP_000133044.1_832
     75 GCF_905133895.1_lcl|NZ_CAJHSU010000007.1_cds_WP_000133044.1_1064
     75 GCF_905133845.1_lcl|NZ_CAJHSV010000002.1_cds_WP_000133044.1_387
     75 GCF_904711305.1_lcl|NZ_LR882050.1_cds_WP_000133044.1_3495
     75 GCF_902505045.1_lcl|NZ_CABWHW010000045.1_cds_WP_000133044.1_3996
     75 GCF_900636195.1_lcl|NZ_LR134236.1_cds_WP_000133044.1_536
     75 GCF_900490245.1_lcl|NZ_UINQ01000002.1_cds_WP_000133044.1_3011
     75 GCF_900479125.1_lcl|NZ_UCVZ01000002.1_cds_WP_000133044.1_2134
     75 GCF_900449235.1_lcl|NZ_UGBM01000005.1_cds_WP_000133044.1_536
     75 GCF_900448915.1_lcl|NZ_UASA01000005.1_cds_WP_000133044.1_4218
     75 GCF_900290395.1_lcl|NZ_OKRI01000009.1_cds_WP_000133044.1_2004
     75 GCF_900195795.1_lcl|NZ_FZGP01000012.1_cds_WP_000133044.1_4249
     75 GCF_040543495.1_lcl|NZ_CP159630.1_cds_WP_000133044.1_560
     75 GCF_040423045.1_lcl|NZ_JALFZS010000022.1_cds_WP_000133044.1_2540
     75 GCF_038084965.1_lcl|NZ_JBAPKS010000003.1_cds_WP_000133044.1_3271
     75 GCF_038083895.1_lcl|NZ_JBAPIT010000013.1_cds_WP_000133044.1_1576
     75 GCF_037172665.1_lcl|NZ_JBANPE010000013.1_cds_WP_000133044.1_1733
     75 GCF_036903695.1_lcl|NZ_JAKGPJ010000001.1_cds_WP_000133044.1_59
     75 GCF_036881065.1_lcl|NZ_JBAJZZ010000001.1_cds_WP_000133044.1_100
     75 GCF_036662675.1_lcl|NZ_JAYQWO010000003.1_cds_WP_000133044.1_488
     75 GCF_036502125.1_lcl|NZ_AP027704.1_cds_WP_000133044.1_560
     75 GCF_036247645.1_lcl|NZ_BLEH01000112.1_cds_WP_000133044.1_3476
     75 GCF_036035485.1_lcl|NZ_JAYXFR010000003.1_cds_WP_000133044.1_264
     75 GCF_033406235.1_lcl|NZ_CP137721.1_cds_WP_000133044.1_604
     75 GCF_032646845.1_lcl|NZ_JAOQHV010000041.1_cds_WP_000133044.1_3679
     75 GCF_032646685.1_lcl|NZ_JAOQHU010000039.1_cds_WP_000133044.1_3366
     75 GCF_031193405.1_lcl|NZ_JAVIRX010000116.1_cds_WP_000133044.1_619
     75 GCF_030520165.1_lcl|NZ_CP130447.1_cds_WP_000133044.1_1626
     75 GCA_003451705.1_lcl|DMJT01000063.1_cds_HAK08530.1_1757
     74 GCF_963680915.1_lcl|NZ_CAVMGJ010000021.1_cds_WP_000133044.1_2676
     74 GCF_963679015.1_lcl|NZ_CAVMCJ010000010.1_cds_WP_000133044.1_2363
     74 GCF_949281605.1_lcl|NZ_CASDMV010000035.1_cds_WP_000133044.1_1223
     74 GCF_947859095.1_lcl|NZ_CANUDM010000002.1_cds_WP_000133044.1_661
     74 GCF_907175995.1_lcl|NZ_CAJSJS010000014.1_cds_WP_000133044.1_679
     74 GCF_907175675.1_lcl|NZ_CAJSIG010000067.1_cds_WP_000133044.1_2228
